Name;Age;Nationality;CC;Overall;Value (EUR);Wage per week (EUR);Preferred Foot;Position;Field
L. Bonucci;31;Italy;ITA;86;30000000;160000;Right;RCB;Defense
M. Benatia;31;Morocco;MAR;86;30000000;160000;Right;CB;Defense
T. Alderweireld;29;Belgium;BEL;86;39000000;150000;Right;RCB;Defense
M. Verratti;25;Italy;ITA;86;55000000;135000;Right;LCM;Midfield
T. Müller;28;Germany;DEU;86;45000000;135000;Right;CAM;Midfield
Thiago;27;Spain;ESP;86;45500000;130000;Right;CM;Midfield
Ederson;24;Brazil;BRA;86;41500000;125000;Left;GK;Defense
M. Reus;29;Germany;DEU;86;43500000;100000;Right;LM;Midfield
Iniesta;34;Spain;ESP;86;21500000;21000;Right;LF;Attack
K. Benzema;30;France;FRA;85;37000000;240000;Right;ST;Attack
Paulinho;29;Brazil;BRA;85;37000000;235000;Right;LDM;Midfield
Marco Asensio;22;Spain;ESP;85;54000000;215000;Left;RW;Attack
A. Sánchez;29;Chile;CHL;85;37500000;215000;Right;RW;Attack
R. Mahrez;27;Algeria;DZA;85;40500000;205000;Left;RW;Attack
A. Vidal;31;Chile;CHL;85;26000000;205000;Right;CAM;Midfield
A. Lacazette;27;France;FRA;85;45000000;180000;Right;ST;Attack
N. Otamendi;30;Argentina;ARG;85;28500000;170000;Right;CB;Defense
V. Kompany;32;Belgium;BEL;85;22000000;170000;Right;CB;Defense
S. Khedira;31;Germany;DEU;85;33000000;160000;Right;RCM;Midfield
B. Matuidi;31;France;FRA;85;26000000;145000;Left;LM;Midfield
W. Szczęsny;28;Poland;POL;85;32000000;125000;Right;GK;Defense
Alisson;25;Brazil;BRA;85;36500000;115000;Right;GK;Defense
E. Džeko;32;Bosnia Herzegovina;MKD;85;30500000;115000;Right;ST;Attack
J. Boateng;29;Germany;DEU;85;30000000;115000;Right;RCB;Defense
D. Alaba;26;Austria;AUT;85;38000000;110000;Left;LB;Defense
I. Perišić;29;Croatia;HRV;85;37500000;110000;Right;LM;Midfield
R. Nainggolan;30;Belgium;BEL;85;35500000;105000;Right;CAM;Midfield
Diego Costa;29;Spain;ESP;85;38500000;100000;Right;LS;Attack
K. Manolas;27;Greece;GRC;85;37500000;96000;Right;LCB;Defense
Miranda;33;Brazil;BRA;85;15500000;96000;Right;CB;Defense
N. Fekir;24;France;FRA;85;50000000;92000;Left;CAM;Midfield
J. Kimmich;23;Germany;DEU;85;40500000;92000;Right;RCM;Midfield
Koke;26;Spain;ESP;85;45000000;88000;Right;LM;Midfield
M. Škriniar;23;Slovakia;SVK;85;46500000;82000;Right;LCB;Defense
Filipe Luís;32;Brazil;BRA;85;21500000;81000;Left;LB;Defense
Saúl;23;Spain;ESP;85;50500000;77000;Left;RCM;Midfield
S. Milinković-Savić;23;Serbia;SRB;85;50500000;73000;Right;CM;Midfield
Parejo;29;Spain;ESP;85;37000000;66000;Right;RCM;Midfield
Pepe;35;Portugal;PRT;85;9000000;57000;Right;RCB;Defense
Naldo;35;Brazil;BRA;85;9000000;38000;Right;CB;Defense
Y. Brahimi;28;Algeria;DZA;85;39000000;28000;Right;LM;Midfield
Z. Ibrahimović;36;Sweden;SWE;85;14000000;15000;Right;RS;Attack
Carvajal;26;Spain;ESP;84;31500000;185000;Right;RB;Defense
I. Gündoğan;27;Germany;DEU;84;32000000;175000;Right;CM;Midfield
Willian;29;Brazil;BRA;84;30500000;175000;Right;RW;Attack
A. Martial;22;France;FRA;84;42500000;165000;Right;LW;Attack
K. Walker;28;England;GBR;84;24500000;165000;Right;RB;Defense
N. Matić;29;Serbia;SRB;84;24000000;165000;Left;CDM;Midfield
M. Mandžukić;32;Croatia;HRV;84;25000000;160000;Right;ST;Attack
Jorginho;26;Italy;ITA;84;38000000;155000;Right;CM;Midfield
J. Cuadrado;30;Colombia;COL;84;29500000;150000;Right;RAM;Midfield
Sokratis;30;Greece;GRC;84;23000000;140000;Right;RCB;Defense
A. Laporte;24;France;FRA;84;34000000;135000;Left;LCB;Defense
H. Son;25;Korea Republic;KOR;84;37000000;125000;Right;LM;Midfield
A. Di María;30;Argentina;ARG;84;29500000;125000;Left;RM;Midfield
Fabinho;24;Brazil;BRA;84;34000000;120000;Right;CDM;Midfield
D. Alli;22;England;GBR;84;42500000;115000;Right;LCM;Midfield
B. Leno;26;Germany;DEU;84;27000000;115000;Right;GK;Defense
Falcao;32;Colombia;COL;84;25000000;115000;Right;RS;Attack
A. Robben;34;Netherlands;NLD;84;15500000;110000;Left;RM;Midfield
D. Sánchez;22;Colombia;COL;84;34000000;105000;Right;RCB;Defense
M. Perin;25;Italy;ITA;84;29500000;105000;Right;GK;Defense
José Callejón;31;Spain;ESP;84;27500000;105000;Right;RM;Midfield
A. Barzagli;37;Italy;ITA;84;4200000;95000;Right;CB;Defense
M. Depay;24;Netherlands;NLD;84;42000000;93000;Right;ST;Attack
Marquinhos;24;Brazil;BRA;84;35500000;90000;Right;LDM;Midfield
S. de Vrij;26;Netherlands;NLD;84;31500000;88000;Right;CB;Defense
Raúl Albiol;32;Spain;ESP;84;18000000;88000;Right;RCB;Defense
N. Süle;22;Germany;DEU;84;36500000;84000;Right;CB;Defense
Quaresma;34;Portugal;PRT;84;15500000;80000;Right;RM;Midfield
K. Schmeichel;31;Denmark;DNK;84;19000000;78000;Right;GK;Defense
A. Witsel;29;Belgium;BEL;84;24000000;77000;Right;LCM;Midfield
D. Payet;31;France;FRA;84;27500000;75000;Right;CAM;Midfield
L. Hrádecký;28;Finland;FIN;84;22000000;74000;Right;GK;Defense
F. Thauvin;25;France;FRA;84;39000000;72000;Left;RM;Midfield
A. Lopes;27;Portugal;PRT;84;25000000;72000;Left;GK;Defense
J. Giménez;23;Uruguay;URY;84;34000000;63000;Right;RCB;Defense
A. Gómez;30;Argentina;ARG;84;30000000;53000;Right;LS;Attack
Illarramendi;28;Spain;ESP;84;31000000;51000;Right;RDM;Midfield
Iago Aspas;30;Spain;ESP;84;30000000;45000;Left;ST;Attack
Sergio Asenjo;29;Spain;ESP;84;24000000;42000;Right;GK;Defense
S. Ruffier;31;France;FRA;84;19000000;41000;Right;GK;Defense
William Carvalho;26;Portugal;PRT;84;31500000;38000;Right;CDM;Midfield
E. Banega;30;Argentina;ARG;84;29000000;31000;Right;CDM;Midfield
Jonas;34;Brazil;BRA;84;16500000;25000;Right;ST;Attack
Bruno Fernandes;23;Portugal;PRT;84;40500000;22000;Right;LCM;Midfield
Alex Telles;25;Brazil;BRA;84;32000000;22000;Left;LB;Defense
Lucas Vázquez;27;Spain;ESP;83;27000000;205000;Right;RW;Attack
Nacho Fernández;28;Spain;ESP;83;24500000;180000;Right;CB;Defense
Sergi Roberto;26;Spain;ESP;83;26500000;170000;Right;RB;Defense
M. Kovačić;24;Croatia;HRV;83;35000000;165000;Right;LCM;Midfield
Juan Mata;30;Spain;ESP;83;24500000;160000;Left;RM;Midfield
O. Dembélé;21;France;FRA;83;40000000;155000;Left;RW;Attack
H. Mkhitaryan;29;Armenia;ARM;83;25500000;145000;Right;RM;Midfield
Cesc Fàbregas;31;Spain;ESP;83;22000000;140000;Right;CM;Midfield
Gabriel Jesus;21;Brazil;BRA;83;41000000;130000;Right;ST;Attack
Marcos Alonso;27;Spain;ESP;83;24000000;130000;Left;LB;Defense
David Luiz;31;Brazil;BRA;83;17500000;130000;Right;LCB;Defense
J. Stones;24;England;GBR;83;28500000;125000;Right;RCB;Defense
I. Gueye;28;Senegal;SEN;83;21000000;125000;Right;RDM;Midfield
N. Keïta;23;Guinea;GIN;83;34000000;120000;Right;CM;Midfield
M. Dembélé;30;Belgium;BEL;83;24000000;120000;Left;CM;Midfield
Suso;24;Spain;ESP;83;33000000;115000;Left;RW;Attack
Lucas Moura;25;Brazil;BRA;83;31000000;115000;Right;RM;Midfield
Felipe Anderson;25;Brazil;BRA;83;31500000;110000;Right;LM;Midfield
Javi Martínez;29;Spain;ESP;83;20000000;94000;Right;CDM;Midfield
A. Rabiot;23;France;FRA;83;33000000;91000;Left;CM;Midfield
J. Draxler;24;Germany;DEU;83;32500000;91000;Right;CM;Midfield
Allan;27;Brazil;BRA;83;26500000;87000;Right;RCM;Midfield
K. Glik;30;Poland;POL;83;19000000;86000;Right;RCB;Defense
S. Gnabry;22;Germany;DEU;83;34500000;85000;Right;ST;Attack
C. Tolisso;23;France;FRA;83;34000000;85000;Right;CM;Midfield
K. Coman;22;France;FRA;83;34000000;85000;Right;LM;Midfield
L. Goretzka;23;Germany;DEU;83;34000000;85000;Right;CM;Midfield
Kepa;23;Spain;ESP;83;28500000;84000;Right;GK;Defense
P. Kimpembe;22;France;FRA;83;30500000;82000;Left;LCB;Defense
L. Bender;29;Germany;DEU;83;20000000;82000;Right;RB;Defense
D. De Rossi;34;Italy;ITA;83;8000000;80000;Right;RDM;Midfield
J. Pickford;24;England;GBR;83;25000000;78000;Left;GK;Defense
K. Kampl;27;Slovenia;SVN;83;26500000;74000;Right;LCM;Midfield
Rui Patrício;30;Portugal;PRT;83;16500000;74000;Left;GK;Defense
F. Ribéry;35;France;FRA;83;11500000;72000;Right;LM;Midfield
T. Werner;22;Germany;DEU;83;34500000;70000;Right;RW;Attack
D. Subašić;33;Croatia;HRV;83;13000000;70000;Right;GK;Defense
J. Tah;22;Germany;DEU;83;29500000;67000;Right;CB;Defense
S. Savić;27;Montenegro;MNE;83;26000000;67000;Right;CB;Defense
K. Strootman;28;Netherlands;NLD;83;21000000;66000;Left;CDM;Midfield
T. Lemar;22;France;FRA;83;35500000;64000;Left;LM;Midfield
Giuliano;28;Brazil;BRA;83;26000000;64000;Right;CAM;Midfield
F. Acerbi;30;Italy;ITA;83;19000000;64000;Left;CB;Defense
Lucas Leiva;31;Brazil;BRA;83;17500000;64000;Right;LDM;Midfield
Luiz Gustavo;30;Brazil;BRA;83;19000000;63000;Left;LCB;Defense
Louri Beretta;26;Brazil;BRA;83;28500000;60000;Right;ST;Attack
Rodrigo;27;Spain;ESP;83;30500000;57000;Left;ST;Attack
Pepe Reina;35;Spain;ESP;83;6000000;56000;Right;GK;Defense
M. Balotelli;27;Italy;ITA;83;27500000;55000;Right;LS;Attack
Adán;31;Spain;ESP;83;15500000;55000;Left;GK;Defense
Gerard Moreno;26;Spain;ESP;83;32000000;53000;Left;LS;Attack
Ronaldo Cabrais;26;Brazil;BRA;83;28000000;51000;Right;RW;Attack
S. Mandanda;33;France;FRA;83;13000000;51000;Right;GK;Defense
Manu Trigueros;26;Spain;ESP;83;30000000;49000;Right;RCM;Midfield
Josué Chiamulera;26;Brazil;BRA;83;22500000;43000;Right;LCB;Defense
O. Baumann;28;Germany;DEU;83;21000000;42000;Right;GK;Defense
Neto;28;Brazil;BRA;83;21000000;41000;Right;GK;Defense
R. Fährmann;29;Germany;DEU;83;20000000;38000;Right;GK;Defense
Y. Sommer;29;Switzerland;CHE;83;20000000;35000;Right;GK;Defense
R. Jarstein;33;Norway;NOR;83;13000000;33000;Right;GK;Defense
Oscar;26;Brazil;BRA;83;30500000;29000;Right;LCM;Midfield
H. Ziyech;25;Morocco;MAR;83;32500000;28000;Left;RAM;Midfield
Q. Promes;26;Netherlands;NLD;83;30500000;28000;Right;RM;Midfield
B. Dost;29;Netherlands;NLD;83;26000000;26000;Right;ST;Attack
T. Horn;25;Germany;DEU;83;24000000;25000;Left;GK;Defense
Pizzi;28;Portugal;PRT;83;25500000;22000;Right;LCM;Midfield
Felipe;29;Brazil;BRA;83;20000000;22000;Right;RCB;Defense
Danilo Pereira;26;Portugal;PRT;83;27000000;21000;Right;CDM;Midfield
Y. Carrasco;24;Belgium;BEL;83;33000000;20000;Right;LM;Midfield
Anderson Talisca;24;Brazil;BRA;83;36500000;18000;Left;CAM;Midfield
Rafinha;25;Brazil;BRA;82;29500000;165000;Left;CAM;Midfield
Malcom;21;Brazil;BRA;82;31500000;140000;Left;RW;Attack
Fred;25;Brazil;BRA;82;26500000;140000;Left;CM;Midfield
J. Lingard;25;England;GBR;82;26500000;140000;Right;CAM;Midfield
Pedro;30;Spain;ESP;82;21000000;140000;Right;RW;Attack
O. Giroud;31;France;FRA;82;20000000;140000;Left;ST;Attack
Morata;25;Spain;ESP;82;28500000;135000;Right;ST;Attack
C. Lenglet;23;France;FRA;82;26000000;135000;Left;LCB;Defense
J. Cillessen;29;Netherlands;NLD;82;18000000;135000;Right;GK;Defense
A. Ramsey;27;Wales;GBR;82;25000000;130000;Right;CAM;Midfield
G. Wijnaldum;27;Netherlands;NLD;82;23000000;130000;Right;CAM;Midfield
Arthur;21;Brazil;BRA;82;32500000;125000;Right;LCM;Midfield
G. Sigurðsson;28;Iceland;ISL;82;22500000;125000;Right;CAM;Midfield
J. Henderson;28;England;GBR;82;18000000;125000;Right;RCM;Midfield
M. Arnautović;29;Austria;AUT;82;22000000;120000;Right;LS;Attack
S. Mustafi;26;Germany;DEU;82;22500000;115000;Right;RCB;Defense
G. Bonaventura;28;Italy;ITA;82;22000000;115000;Right;CM;Midfield
L. Koscielny;32;France;FRA;82;12500000;115000;Right;CB;Defense
F. Bernardeschi;24;Italy;ITA;82;29500000;110000;Left;RM;Midfield
A. Rüdiger;25;Germany;DEU;82;22500000;110000;Right;CB;Defense
K. Trippier;27;England;GBR;82;18500000;99000;Right;RB;Defense
L. Torreira;22;Uruguay;URY;82;25000000;98000;Right;LCM;Midfield
A. Robertson;24;Scotland;GBR;82;24500000;98000;Left;LB;Defense
L. Biglia;32;Argentina;ARG;82;12500000;98000;Right;CDM;Midfield
J. Vardy;31;England;GBR;82;20000000;96000;Right;ST;Attack
João Cancelo;24;Portugal;PRT;82;25500000;95000;Right;RB;Defense
D. Rugani;23;Italy;ITA;82;24500000;95000;Right;CB;Defense
Samu Castillejo;23;Spain;ESP;82;29000000;94000;Left;RM;Midfield
T. Meunier;26;Belgium;BEL;82;21000000;87000;Right;RM;Midfield
A. Romagnoli;23;Italy;ITA;82;26500000;84000;Left;LCB;Defense
J. Pastore;29;Argentina;ARG;82;21500000;84000;Right;CAM;Midfield
W. Zaha;25;Ivory Coast;CIV;82;28500000;78000;Right;LS;Attack
H. Maguire;25;England;GBR;82;23500000;77000;Right;LCB;Defense
S. Nzonzi;29;France;FRA;82;17000000;77000;Right;CDM;Midfield
A. Florenzi;27;Italy;ITA;82;20500000;73000;Right;RB;Defense
F. Fazio;31;Argentina;ARG;82;15000000;73000;Right;LCB;Defense
Marcano;31;Spain;ESP;82;15000000;73000;Left;CB;Defense
A. Kolarov;32;Serbia;SRB;82;12500000;73000;Left;LB;Defense
J. Brandt;22;Germany;DEU;82;30500000;68000;Right;LM;Midfield
Luis Alberto;25;Spain;ESP;82;28500000;67000;Right;CF;Attack
M. Götze;26;Germany;DEU;82;27000000;67000;Right;CM;Midfield
E. Forsberg;26;Sweden;SWE;82;26000000;67000;Right;LM;Midfield
Dani Alves;35;Brazil;BRA;82;4800000;62000;Right;RB;Defense
T. Delaney;26;Denmark;DNK;82;21500000;61000;Left;LCM;Midfield
P. Čech;36;Czech Republic;CZE;82;3000000;60000;Left;GK;Defense
Gelson Martins;23;Portugal;PRT;82;29500000;59000;Right;RM;Midfield
Rodri;22;Spain;ESP;82;29000000;59000;Right;CM;Midfield
T. Partey;25;Ghana;GHA;82;25500000;59000;Right;CDM;Midfield
M. Parolo;33;Italy;ITA;82;9000000;59000;Right;RDM;Midfield
A. Belotti;24;Italy;ITA;82;30000000;58000;Right;LS;Attack
A. Rami;32;France;FRA;82;12500000;57000;Right;RCB;Defense
A. Kramarić;27;Croatia;HRV;82;26000000;54000;Right;LCM;Midfield
L. Hernández;22;France;FRA;82;25500000;53000;Left;LB;Defense
A. Consigli;31;Italy;ITA;82;13500000;52000;Right;GK;Defense
R. Bürki;27;Switzerland;CHE;82;18500000;50000;Right;GK;Defense
G. Kondogbia;25;Central African Rep.;CIV;82;27500000;46000;Left;CM;Midfield
K. Casteels;26;Belgium;BEL;82;19500000;46000;Left;GK;Defense
Rosberto Dourado;30;Brazil;BRA;82;16500000;46000;Right;RCM;Midfield
M. Kruse;30;Germany;DEU;82;21500000;45000;Left;ST;Attack
S. Sirigu;31;Italy;ITA;82;13500000;45000;Right;GK;Defense
Willian José;26;Brazil;BRA;82;26500000;44000;Right;ST;Attack
Gabriel Paulista;27;Brazil;BRA;82;21000000;44000;Right;LCB;Defense
E. Garay;31;Argentina;ARG;82;15000000;44000;Right;RCB;Defense
Víctor Ruiz;29;Spain;ESP;82;19500000;43000;Left;LCB;Defense
S. Sané;27;Senegal;SEN;82;18500000;41000;Right;CB;Defense
E. Višća;28;Bosnia Herzegovina;MKD;82;22500000;40000;Right;RM;Midfield
Juiano Mestres;34;Brazil;BRA;82;6500000;39000;Right;RCB;Defense
Gonçalo Guedes;21;Portugal;PRT;82;29000000;36000;Right;LM;Midfield
A. Guardado;31;Mexico;MEX;82;19000000;35000;Left;CM;Midfield
C. Bakambu;27;DR Congo;CIV;82;26000000;33000;Right;ST;Attack
Dani García;28;Spain;ESP;82;20000000;33000;Right;RCM;Midfield
Bartra;27;Spain;ESP;82;21000000;32000;Right;CB;Defense
Raphaelito Anjos;30;Brazil;BRA;82;14000000;32000;Right;GK;Defense
Jonathan Viera;28;Spain;ESP;82;22500000;31000;Right;LF;Attack
J. Pavlenka;26;Czech Republic;CZE;82;19500000;30000;Right;GK;Defense
Aduriz;37;Spain;ESP;82;8000000;29000;Right;ST;Attack
W. Ben Yedder;27;France;FRA;82;23500000;28000;Right;RS;Attack
F. Vázquez;29;Argentina;ARG;82;21500000;27000;Left;LCM;Midfield
Pablo Sarabia;26;Spain;ESP;82;26000000;26000;Left;RCM;Midfield
G. Donnarumma;19;Italy;ITA;82;29000000;23000;Right;GK;Defense
N. Gaitán;30;Argentina;ARG;82;21000000;22000;Left;CAM;Midfield
Pau López;23;Spain;ESP;82;21500000;21000;Left;GK;Defense
S. Coates;27;Uruguay;URY;82;21000000;19000;Right;RCB;Defense
L. Fejsa;29;Serbia;SRB;82;17000000;18000;Right;CDM;Midfield
Jardel;32;Brazil;BRA;82;12500000;17000;Right;LCB;Defense
S. Giovinco;31;Italy;ITA;82;20000000;15000;Right;CF;Attack
E. Viviano;32;Italy;ITA;82;12500000;15000;Left;GK;Defense
David Villa;36;Spain;ESP;82;8000000;12000;Right;ST;Attack
M. de Ligt;18;Netherlands;NLD;82;27000000;11000;Right;RCB;Defense
Casillas;37;Spain;ESP;82;1500000;10000;Left;GK;Defense
Taison;30;Brazil;BRA;82;21000000;1000;Right;LM;Midfield
Marlos;30;Ukraine;UKR;82;21000000;1000;Left;RM;Midfield
Mário Fernandes;27;Russia;RUS;82;18500000;1000;Right;RB;Defense
V. Ćorluka;32;Croatia;HRV;82;12500000;1000;Right;LCB;Defense
Ander Herrera;28;Spain;ESP;81;17500000;140000;Right;CM;Midfield
X. Shaqiri;26;Switzerland;CHE;81;19000000;130000;Left;CAM;Midfield
C. Smalling;28;England;GBR;81;16000000;130000;Right;RCB;Defense
Nélson Semedo;24;Portugal;PRT;81;20000000;125000;Right;RB;Defense
Dani Ceballos;21;Spain;ESP;81;25000000;120000;Right;LCM;Midfield
J. Milner;32;England;GBR;81;13500000;120000;Right;CM;Midfield
A. Valencia;32;Ecuador;ECU;81;10000000;120000;Right;RM;Midfield
G. Xhaka;25;Switzerland;CHE;81;22000000;115000;Left;LDM;Midfield
D. Lovren;28;Croatia;HRV;81;16000000;115000;Right;RCB;Defense
M. Rashford;20;England;GBR;81;27000000;110000;Right;LW;Attack
E. Bailly;24;Ivory Coast;CIV;81;21000000;105000;Right;CB;Defense
E. Lamela;26;Argentina;ARG;81;21000000;105000;Left;RM;Midfield
B. Mendy;23;France;FRA;81;20000000;105000;Left;LB;Defense
D. Rose;27;England;GBR;81;14500000;92000;Left;LB;Defense
A. Christensen;22;Denmark;DNK;81;21500000;91000;Right;LCB;Defense
M. Lanzini;25;Argentina;ARG;81;23000000;90000;Right;CAM;Midfield
B. Davies;25;Wales;GBR;81;18500000;87000;Left;LB;Defense
M. Valbuena;33;France;FRA;81;11000000;86000;Right;LM;Midfield
João Moutinho;31;Portugal;PRT;81;15000000;85000;Right;RCM;Midfield
D. Perotti;29;Argentina;ARG;81;17500000;84000;Right;LW;Attack
S. El Shaarawy;25;Italy;ITA;81;21000000;77000;Right;LM;Midfield
S. Verdi;25;Italy;ITA;81;19500000;77000;Left;RW;Attack
K. Volland;25;Germany;DEU;81;22000000;76000;Left;ST;Attack
K. Bellarabi;28;Germany;DEU;81;18000000;76000;Right;RM;Midfield
C. Aránguiz;29;Chile;CHL;81;17000000;76000;Right;LDM;Midfield
A. Candreva;31;Italy;ITA;81;15500000;74000;Right;RM;Midfield
Borja Valero;33;Spain;ESP;81;11000000;74000;Right;CAM;Midfield
J. Seri;26;Ivory Coast;CIV;81;20500000;73000;Right;LDM;Midfield
A. Milik;24;Poland;POL;81;25500000;71000;Left;CF;Attack
João Mário;25;Portugal;PRT;81;22500000;71000;Right;CAM;Midfield
L. Fabiański;33;Poland;POL;81;9000000;70000;Right;GK;Defense
S. Bender;29;Germany;DEU;81;14000000;69000;Right;LCB;Defense
F. Ghoulam;27;Algeria;DZA;81;16500000;68000;Left;LB;Defense
Vitolo;28;Spain;ESP;81;18000000;65000;Right;LM;Midfield
S. Kagawa;29;Japan;JPN;81;17500000;65000;Right;CAM;Midfield
K. Boateng;31;Ghana;GHA;81;15000000;65000;Right;CM;Midfield
Fabián;22;Spain;ESP;81;26000000;64000;Left;LM;Midfield
P. Zieliński;24;Poland;POL;81;24500000;64000;Right;RCM;Midfield
Ricardo Pereira;24;Portugal;PRT;81;19000000;64000;Right;RB;Defense
M. Brozović;25;Croatia;HRV;81;18500000;64000;Right;LDM;Midfield
A. Areola;25;France;FRA;81;16500000;61000;Right;GK;Defense
A. Doucouré;25;France;FRA;81;19500000;60000;Right;RDM;Midfield
Paco Alcácer;24;Spain;ESP;81;23500000;59000;Right;ST;Attack
O. Toprak;28;Turkey;TUR;81;16000000;59000;Right;CB;Defense
E. Hysaj;24;Albania;ALB;81;20000000;58000;Right;RB;Defense
M. Politano;24;Italy;ITA;81;22500000;57000;Left;RM;Midfield
S. Vrsaljko;26;Croatia;HRV;81;18000000;57000;Right;RB;Defense
L. Piszczek;33;Poland;POL;81;7000000;57000;Right;RB;Defense
B. Gomis;32;France;FRA;81;14000000;56000;Right;ST;Attack
G. Medel;30;Chile;CHL;81;13000000;56000;Right;RCB;Defense
L. Bailey;20;Jamaica;JAM;81;26500000;54000;Left;LM;Midfield
A. Correa;23;Argentina;ARG;81;24500000;54000;Right;RM;Midfield
